Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Distance,Duration_Minutes,Duration_Hours,Route_Type
51886,DMO,DAMOH,BINA,BINA,154,215.0,3.5833333333333335,Medium
51901,AGC,AGRA CANTT,DLI,DELHI JN.,190,420.0,7.0,Medium
51902,DLI,DELHI JN.,AGC,AGRA CANTT,194,385.0,6.416666666666667,Medium
51905,DLI,DELHI JN.,SMQL,SHAMLI,93,200.0,3.3333333333333335,Short
51906,SMQL,SHAMLI,DLI,DELHI JN.,90,150.0,2.5,Short
51907,SMQL,SHAMLI,SRE,SAHARANPUR J,70,125.0,2.0833333333333335,Short
51908,SRE,SAHARANPUR J,SMQL,SHAMLI,70,115.0,1.9166666666666667,Short
51909,DLI,DELHI JN.,SRE,SAHARANPUR J,163,340.0,5.666666666666667,Medium
51910,SRE,SAHARANPUR J,DLI,DELHI JN.,163,320.0,5.333333333333333,Medium
51911,DLI,DELHI JN.,SRE,SAHARANPUR J,163,305.0,5.083333333333333,Medium
51912,SRE,SAHARANPUR J,DLI,DELHI JN.,163,335.0,5.583333333333333,Medium
51913,DLI,DELHI JN.,SRE,SAHARANPUR J,163,330.0,5.5,Medium
51914,SRE,SAHARANPUR J,DLI,DELHI JN.,160,295.0,4.916666666666667,Medium
51915,DLI,DELHI JN.,FN,FARUKHNAGAR,52,105.0,1.75,Short
51916,FN,FARUKHNAGAR,DLI,DELHI JN.,51,125.0,2.0833333333333335,Short
51971,MTJ,MATHURA JN.,AWR,ALWAR JN.,122,185.0,3.0833333333333335,Medium
51972,AWR,ALWAR JN.,MTJ,MATHURA JN.,123,165.0,2.75,Medium
51973,MTJ,MATHURA JN.,JP,JAIPUR JN.,273,430.0,7.166666666666667,Medium
51974,JP,JAIPUR JN.,MTJ,MATHURA JN.,273,470.0,7.833333333333333,Medium
52073,MJ,MARWAR JN.,MVJ,MAVLI JN.,202,370.0,6.166666666666667,Medium
52074,MVJ,MAVLI JN.,MJ,MARWAR JN.,202,365.0,6.083333333333333,Medium
52075,MJ,MARWAR JN.,MVJ,MAVLI JN.,202,360.0,6.0,Medium
